location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0.0
Austria,2021-01-08,Moderna,0.0
Austria,2021-01-08,Oxford/AstraZeneca,0.0
Austria,2021-01-08,Pfizer/BioNTech,31133.0
Austria,2021-01-15,Johnson&Johnson,0.0
Austria,2021-01-15,Moderna,90.0
Austria,2021-01-15,Oxford/AstraZeneca,0.0
Austria,2021-01-15,Pfizer/BioNTech,115967.0
Austria,2021-01-22,Johnson&Johnson,0.0
Austria,2021-01-22,Moderna,305.0
Austria,2021-01-22,Oxford/AstraZeneca,0.0
Austria,2021-01-22,Pfizer/BioNTech,213314.0
Austria,2021-01-29,Johnson&Johnson,0.0
Austria,2021-01-29,Moderna,4238.0
Austria,2021-01-29,Oxford/AstraZeneca,0.0
Austria,2021-01-29,Pfizer/BioNTech,258041.0
Austria,2021-02-05,Johnson&Johnson,0.0
Austria,2021-02-05,Moderna,5929.0
Austria,2021-02-05,Oxford/AstraZeneca,1.0
Austria,2021-02-05,Pfizer/BioNTech,353612.0
Austria,2021-02-12,Johnson&Johnson,0.0
Austria,2021-02-12,Moderna,10008.0
Austria,2021-02-12,Oxford/AstraZeneca,10782.0
Austria,2021-02-12,Pfizer/BioNTech,455155.0
Austria,2021-02-19,Johnson&Johnson,0.0
Austria,2021-02-19,Moderna,14131.0
Austria,2021-02-19,Oxford/AstraZeneca,43549.0
Austria,2021-02-19,Pfizer/BioNTech,520844.0
Austria,2021-02-26,Johnson&Johnson,0.0
Austria,2021-02-26,Moderna,22497.0
Austria,2021-02-26,Oxford/AstraZeneca,101343.0
Austria,2021-02-26,Pfizer/BioNTech,582000.0
Austria,2021-03-05,Johnson&Johnson,0.0
Austria,2021-03-05,Moderna,31793.0
Austria,2021-03-05,Oxford/AstraZeneca,156196.0
Austria,2021-03-05,Pfizer/BioNTech,686397.0
Austria,2021-03-12,Johnson&Johnson,0.0
Austria,2021-03-12,Moderna,47138.0
Austria,2021-03-12,Oxford/AstraZeneca,234874.0
Austria,2021-03-12,Pfizer/BioNTech,849143.0
Austria,2021-03-19,Johnson&Johnson,14.0
Austria,2021-03-19,Moderna,78913.0
Austria,2021-03-19,Oxford/AstraZeneca,308134.0
Austria,2021-03-19,Pfizer/BioNTech,981663.0
Austria,2021-03-26,Johnson&Johnson,26.0
Austria,2021-03-26,Moderna,104289.0
Austria,2021-03-26,Oxford/AstraZeneca,383499.0
Austria,2021-03-26,Pfizer/BioNTech,1127746.0
Austria,2021-04-02,Johnson&Johnson,44.0
Austria,2021-04-02,Moderna,140624.0
Austria,2021-04-02,Oxford/AstraZeneca,422046.0
Austria,2021-04-02,Pfizer/BioNTech,1275711.0
Austria,2021-04-09,Johnson&Johnson,85.0
Austria,2021-04-09,Moderna,180132.0
Austria,2021-04-09,Oxford/AstraZeneca,512436.0
Austria,2021-04-09,Pfizer/BioNTech,1496689.0
Austria,2021-04-16,Johnson&Johnson,92.0
Austria,2021-04-16,Moderna,222620.0
Austria,2021-04-16,Oxford/AstraZeneca,608340.0
Austria,2021-04-16,Pfizer/BioNTech,1730226.0
Austria,2021-04-23,Johnson&Johnson,97.0
Austria,2021-04-23,Moderna,259924.0
Austria,2021-04-23,Oxford/AstraZeneca,657284.0
Austria,2021-04-23,Pfizer/BioNTech,1993534.0
Austria,2021-04-30,Johnson&Johnson,357.0
Austria,2021-04-30,Moderna,298858.0
Austria,2021-04-30,Oxford/AstraZeneca,699744.0
Austria,2021-04-30,Pfizer/BioNTech,2266755.0
Austria,2021-05-07,Johnson&Johnson,6482.0
Austria,2021-05-07,Moderna,348106.0
Austria,2021-05-07,Oxford/AstraZeneca,762752.0
Austria,2021-05-07,Pfizer/BioNTech,2596851.0
Austria,2021-05-14,Johnson&Johnson,13475.0
Austria,2021-05-14,Moderna,397937.0
Austria,2021-05-14,Oxford/AstraZeneca,826910.0
Austria,2021-05-14,Pfizer/BioNTech,2896031.0
Austria,2021-05-21,Johnson&Johnson,25725.0
Austria,2021-05-21,Moderna,465840.0
Austria,2021-05-21,Oxford/AstraZeneca,904679.0
Austria,2021-05-21,Pfizer/BioNTech,3273296.0
Austria,2021-05-28,Johnson&Johnson,37875.0
Austria,2021-05-28,Moderna,519365.0
Austria,2021-05-28,Oxford/AstraZeneca,987562.0
Austria,2021-05-28,Pfizer/BioNTech,3608014.0
Austria,2021-06-04,Johnson&Johnson,58010.0
Austria,2021-06-04,Moderna,574650.0
Austria,2021-06-04,Oxford/AstraZeneca,1056175.0
Austria,2021-06-04,Pfizer/BioNTech,4032761.0
Austria,2021-06-11,Johnson&Johnson,79625.0
Austria,2021-06-11,Moderna,637500.0
Austria,2021-06-11,Oxford/AstraZeneca,1151488.0
Austria,2021-06-11,Pfizer/BioNTech,4470636.0
Austria,2021-06-18,Johnson&Johnson,94542.0
Austria,2021-06-18,Moderna,687062.0
Austria,2021-06-18,Oxford/AstraZeneca,1203873.0
Austria,2021-06-18,Pfizer/BioNTech,4924678.0
Austria,2021-06-25,Johnson&Johnson,103061.0
Austria,2021-06-25,Moderna,742726.0
