Rank,Restaurant,Sales,Average Check,City,State,Meals Served
1.0,Carmine s (Times Square),3.9080335E7,40.0,New York,N.Y.,469803.0
2.0,The Boathouse Orlando,3.5218364E7,43.0,Orlando ,Fla.,820819.0
3.0,Old Ebbitt Grill,2.9104017E7,33.0,Washington,D.C.,892830.0
4.0,LAVO Italian Restaurant & Nightclub,2.691618E7,90.0,New York,N.Y.,198500.0
5.0,Bryant Park Grill & Cafe,2.69E7,62.0,New York,N.Y.,403000.0
6.0,Gibsons Bar & Steakhouse,2.5409952E7,80.0,Chicago,Ill.,348567.0
7.0,Top of the World at the STRAT ,2.5233543E7,103.0,Las Vegas,Nev.,246054.0
8.0,Maple & Ash,2.4837595E7,99.0,Chicago,Ill.,210832.0
9.0,Balthazar,2.45478E7,87.0,New York,N.Y.,519000.0
10.0,Smith & Wollensky,2.4501E7,107.0,New York,N.Y.,257364.0
11.0,Angus Barn,2.426816E7,75.0,Raleigh,N.C.,315000.0
12.0,Prime 112,2.38E7,135.0,Miami Beach,Fla.,206000.0
13.0,Joe s Seafood, Prime Steak & Stone Crab,2.366E7,86.0,Washington,D.C.,277850.0
14.0,Junior s (Times Square),2.3640652E7,23.0,New York,N.Y.,914500.0
15.0,The Hamilton,2.3138062E7,33.0,Washington,D.C.,700861.0
16.0,Joe s Seafood, Prime Steak & Stone Crab,2.29816E7,91.0,Chicago,Ill.,252500.0
17.0,Joe s Seafood, Prime Steak & Stone Crab,2.28594E7,81.0,Las Vegas,Nev.,286000.0
18.0,Gibsons Italia,2.2749232E7,108.0,Chicago,Ill.,252962.0
19.0,Komodo,2.25E7,98.0,Miami,Fla.,265000.0
20.0,Buddakan,2.2395577E7,67.0,New York,N.Y.,221059.0
21.0,Bazaar Meat by Jose Andres,2.2181607E7,119.0,Las Vegas,Nev.,190000.0
22.0,SW Steakhouse,2.152365E7,149.0,Las Vegas,Nev.,145700.0
23.0,St. Elmo Steak House,2.1422141E7,99.0,Indianapolis,Ind.,192774.0
24.0,RPM Steak,2.08533E7,102.0,Chicago,Ill.,202900.0
25.0,Mon Ami Gabi,2.012021E7,76.0,Las Vegas,Nev.,319200.0
26.0,Gibsons Bar & Steakhouse,1.9831818E7,81.0,Oak Brook,Ill.,276444.0
27.0,Paddlefish,1.98295E7,48.0,Orlando ,Fla.,417500.0
28.0,Taste of Texas,1.9530159E7,55.0,Houston,Texas,375241.0
29.0,Parc,1.9379153E7,35.0,Philadelphia,Pa.,486219.0
30.0,Bob Chinn s Crab House,1.8687601E7,48.0,Wheeling,Ill.,625907.0
31.0,Quality Meats,1.8678E7,115.0,New York,N.Y.,165148.0
32.0,Del Posto,1.8625033E7,194.0,New York,N.Y.,95000.0
33.0,Shooters Waterfront,1.8601433E7,57.0,Ft. Lauderdale,Fla.,409752.0
